Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,1,0,0,1,0,5849,0,0,360,1,Urban,1
LP001003,1,1,1,1,0,4583,1508,128,360,1,Rural,0
LP001005,1,1,0,1,1,3000,0,66,360,1,Urban,1
LP001006,1,1,0,0,0,2583,2358,120,360,1,Urban,1
LP001008,1,0,0,1,0,6000,0,141,360,1,Urban,1
LP001011,1,1,2,1,1,5417,4196,267,360,1,Urban,1
LP001013,1,1,0,0,0,2333,1516,95,360,1,Urban,1
LP001014,1,1,3,1,0,3036,2504,158,360,0,Semiurban,0
LP001018,1,1,2,1,0,4006,1526,168,360,1,Urban,1
LP001020,1,1,1,1,0,12841,10968,349,360,1,Semiurban,0
LP001024,1,1,2,1,0,3200,700,70,360,1,Urban,1
LP001027,1,1,2,1,N/A,2500,1840,109,360,1,Urban,1
LP001028,1,1,2,1,0,3073,8106,200,360,1,Urban,1
LP001029,1,0,0,1,0,1853,2840,114,360,1,Rural,0
LP001030,1,1,2,1,0,1299,1086,17,120,1,Urban,1
LP001032,1,0,0,1,0,4950,0,125,360,1,Urban,1
LP001034,1,0,1,0,0,3596,0,100,240,N/A,Urban,1
LP001036,0,0,0,1,0,3510,0,76,360,0,Urban,0
LP001038,1,1,0,0,0,4887,0,133,360,1,Rural,0
LP001041,1,1,0,1,N/A,2600,3500,115,N/A,1,Urban,1
LP001043,1,1,0,0,0,7660,0,104,360,0,Urban,0
LP001046,1,1,1,1,0,5955,5625,315,360,1,Urban,1
LP001047,1,1,0,0,0,2600,1911,116,360,0,Semiurban,0
LP001050,N/A,1,2,0,0,3365,1917,112,360,0,Rural,0
LP001052,1,1,1,1,N/A,3717,2925,151,360,N/A,Semiurban,0
LP001066,1,1,0,1,1,9560,0,191,360,1,Semiurban,1
LP001068,1,1,0,1,0,2799,2253,122,360,1,Semiurban,1
LP001073,1,1,2,0,0,4226,1040,110,360,1,Urban,1
LP001086,1,0,0,0,0,1442,0,35,360,1,Urban,0
LP001087,0,0,2,1,N/A,3750,2083,120,360,1,Semiurban,1
LP001091,1,1,1,1,N/A,4166,3369,201,360,N/A,Urban,0
LP001095,1,0,0,1,0,3167,0,74,360,1,Urban,0
LP001097,1,0,1,1,1,4692,0,106,360,1,Rural,0
LP001098,1,1,0,1,0,3500,1667,114,360,1,Semiurban,1
LP001100,1,0,3,1,0,12500,3000,320,360,1,Rural,0
LP001106,1,1,0,1,0,2275,2067,N/A,360,1,Urban,1
LP001109,1,1,0,1,0,1828,1330,100,N/A,0,Urban,0
LP001112,0,1,0,1,0,3667,1459,144,360,1,Semiurban,1
LP001114,1,0,0,1,0,4166,7210,184,360,1,Urban,1
LP001116,1,0,0,0,0,3748,1668,110,360,1,Semiurban,1
LP001119,1,0,0,1,0,3600,0,80,360,1,Urban,0
LP001120,1,0,0,1,0,1800,1213,47,360,1,Urban,1
LP001123,1,1,0,1,0,2400,0,75,360,N/A,Urban,1
LP001131,1,1,0,1,0,3941,2336,134,360,1,Semiurban,1
LP001136,1,1,0,0,1,4695,0,96,N/A,1,Urban,1
LP001137,0,0,0,1,0,3410,0,88,N/A,1,Urban,1
LP001138,1,1,1,1,0,5649,0,44,360,1,Urban,1
LP001144,1,1,0,1,0,5821,0,144,360,1,Urban,1
LP001146,0,1,0,1,0,2645,3440,120,360,0,Urban,0
LP001151,0,0,0,1,0,4000,2275,144,360,1,Semiurban,1
LP001155,0,1,0,0,0,1928,1644,100,360,1,Semiurban,1
LP001157,0,0,0,1,0,3086,0,120,360,1,Semiurban,1
LP001164,0,0,0,1,0,4230,0,112,360,1,Semiurban,0
LP001179,1,1,2,1,0,4616,0,134,360,1,Urban,0
LP001186,0,1,1,1,1,11500,0,286,360,0,Urban,0
LP001194,1,1,2,1,0,2708,1167,97,360,1,Semiurban,1
LP001195,1,1,0,1,0,2132,1591,96,360,1,Semiurban,1
LP001197,1,1,0,1,0,3366,2200,135,360,1,Rural,0
LP001198,1,1,1,1,0,8080,2250,180,360,1,Urban,1
LP001199,1,1,2,0,0,3357,2859,144,360,1,Urban,1
LP001205,1,1,0,1,0,2500,3796,120,360,1,Urban,1
LP001206,1,1,3,1,0,3029,0,99,360,1,Urban,1
LP001207,1,1,0,0,1,2609,3449,165,180,0,Rural,0
LP001213,1,1,1,1,0,4945,0,N/A,360,0,Rural,0
LP001222,0,0,0,1,0,4166,0,116,360,0,Semiurban,0
LP001225,1,1,0,1,0,5726,4595,258,360,1,Semiurban,0
LP001228,1,0,0,0,0,3200,2254,126,180,0,Urban,0
LP001233,1,1,1,1,0,10750,0,312,360,1,Urban,1
LP001238,1,1,3,0,1,7100,0,125,60,1,Urban,1
LP001241,0,0,0,1,0,4300,0,136,360,0,Semiurban,0
LP001243,1,1,0,1,0,3208,3066,172,360,1,Urban,1
LP001245,1,1,2,0,1,1875,1875,97,360,1,Semiurban,1
LP001248,1,0,0,1,0,3500,0,81,300,1,Semiurban,1
LP001250,1,1,3,0,0,4755,0,95,N/A,0,Semiurban,0
LP001253,1,1,3,1,1,5266,1774,187,360,1,Semiurban,1
LP001255,1,0,0,1,0,3750,0,113,480,1,Urban,0
LP001256,1,0,0,1,0,3750,4750,176,360,1,Urban,0
LP001259,1,1,1,1,1,1000,3022,110,360,1,Urban,0
LP001263,1,1,3,1,0,3167,4000,180,300,0,Semiurban,0
LP001264,1,1,3,0,1,3333,2166,130,360,N/A,Semiurban,1
LP001265,0,0,0,1,0,3846,0,111,360,1,Semiurban,1
LP001266,1,1,1,1,1,2395,0,N/A,360,1,Semiurban,1
LP001267,0,1,2,1,0,1378,1881,167,360,1,Urban,0
LP001273,1,1,0,1,0,6000,2250,265,360,N/A,Semiurban,0
LP001275,1,1,1,1,0,3988,0,50,240,1,Urban,1
LP001279,1,0,0,1,0,2366,2531,136,360,1,Semiurban,1
LP001280,1,1,2,0,0,3333,2000,99,360,N/A,Semiurban,1
LP001282,1,1,0,1,0,2500,2118,104,360,1,Semiurban,1
LP001289,1,0,0,1,0,8566,0,210,360,1,Urban,1
LP001310,1,1,0,1,0,5695,4167,175,360,1,Semiurban,1
LP001316,1,1,0,1,0,2958,2900,131,360,1,Semiurban,1
LP001318,1,1,2,1,0,6250,5654,188,180,1,Semiurban,1
LP001319,1,1,2,0,0,3273,1820,81,360,1,Urban,1
LP001322,1,0,0,1,0,4133,0,122,360,1,Semiurban,1
LP001325,1,0,0,0,0,3620,0,25,120,1,Semiurban,1
LP001326,1,0,0,1,N/A,6782,0,N/A,360,N/A,Urban,0
LP001327,0,1,0,1,0,2484,2302,137,360,1,Semiurban,1
LP001333,1,1,0,1,0,1977,997,50,360,1,Semiurban,1
LP001334,1,1,0,0,0,4188,0,115,180,1,Semiurban,1
LP001343,1,1,0,1,0,1759,3541,131,360,1,Semiurban,1
LP001345,1,1,2,0,0,4288,3263,133,180,1,Urban,1
LP001349,1,0,0,1,0,4843,3806,151,360,1,Semiurban,1
LP001350,1,1,N/A,1,0,13650,0,N/A,360,1,Urban,1
LP001356,1,1,0,1,0,4652,3583,N/A,360,1,Semiurban,1
LP001357,1,N/A,N/A,1,0,3816,754,160,360,1,Urban,1
LP001367,1,1,1,1,0,3052,1030,100,360,1,Urban,1
LP001369,1,1,2,1,0,11417,1126,225,360,1,Urban,1
LP001370,1,0,0,0,N/A,7333,0,120,360,1,Rural,0
LP001379,1,1,2,1,0,3800,3600,216,360,0,Urban,0
LP001384,1,1,3,0,0,2071,754,94,480,1,Semiurban,1
